Emerging Domain,Title of Priority Skill,Description of Priority Skill,Demand Growth,Transferability,No. of Job Posts in 2021 Requiring this Skill
E-commerce and Digital Marketing,Website Design,"Determine and review purposes, expectations and functionalities of websites, as well as analyse the user-interface design requirements",71.40%,229,3957
E-commerce and Digital Marketing,Website Performance Management,"Design mechanisms to identify website maintenance, administration, or performance problems, as well as generate website performance benchmarks reports and record outcomes against specifications",143.70%,101,391
Software Development,Agile Software Development,"Plan and implement Agile methodology and the use of adaptive and iterative methods and techniques in the Software Development lifecycle to account for continuous evolution, development, and deployment to enable seamless delivery of the application to the end user",44.80%,262,10728
Software Development,Application Support and Enhancement,Provide ongoing technical support and improvements to users of applications including technical guidance and assistance related to the installation and maintenance of applications,177.00%,12,85
Software Development,Applications Development,"Develop applications based on the design specifications; encompassing coding, testing, debugging, documenting and reviewing and/or refining it across the application development stages in accordance with defined standards for development and security. The complexity of the application may range from a basic application to a context-aware and/or augmented reality application that incorporates predictive behaviour analytics, geo-spatial capabilities and other appropriate algorithms. The technical skill includes the analysis and possibly the reuse, improvement, reconfiguration, addition or integration of existing and/or new application components.",34.30%,705,59952
Software Development,Applications Integration,"Integrate data or functions from one application program with that of another application program - involves development of an integration plan, programming and the identification and utilisation of appropriate middleware to optimise the connectivity and performance of disparate applications across target environments",101.40%,200,3143
Software Development,Applications Support and Enhancement,"Provide ongoing technical support and improvements to users of applications. This includes technical guidance and assistance related to the installation and maintenance of applications, fixing and resolution of application problems or disruptions, and response to change requests that will enhance the operations and usage of an application",43.00%,578,36575
Software Development,Audio Programming,Develop programs to implement interactive sound and sound effects within electronic games,146.60%,6,15
Software Development,Automation Management in Product Development,Oversee automation systems to ensure operation requirements for product development are met as well as propose strategies for automation systems performance improvement,120.10%,28,64
Software Development,Building Information Modelling Application,"Use Building Information Modelling to make design, project and operational information accurate, accessible and actionable",113.00%,304,7085
Software Development,Computational Design,"Use programming and computational strategies for design processes to enable design optioneering, automation and optimisation",121.00%,21,108
Software Development,Configuration Tracking,"Track systematically and manage changes and revisions in software projects to ensure that all changes are accounted for and to protect assets against unauthorized change, diversion and inappropriate use",253.00%,10,44
Software Development,Continuous Integration and Continuous Deployment,"Manage the planning, building, testing and integration of codes, and deployment of software changes and updates into a live environment",61.80%,258,19555
Software Development,Design Creation and Development,"Utilise relevant design approaches for the conceptualisation, development and enhancement of design solutions",37.30%,392,5221
Software Development,Digital and Physical Prototyping,"Construct design concepts, either digitally or physically, to develop deeper understanding of the designs and test their usability and functionality",109.00%,32,137
Software Development,Interaction Design Practice,"Develop digital and/or physical interactions across technology, products, space and services media to enhance relationships and engagement with users",82.50%,109,1478
Software Development,Learning Technology Design,Design learning technologies to enhance learning experience and delivery,91.10%,118,600
Software Development,Product Management,"Create and manage a product roadmap, involving the ideating, planning, forecasting, marketing and management of a product or a suite of products throughout stages of its lifecycle, from its conceptualisation to market entrance and eventual phasing-out. This includes the creation of a new product idea or concept and definition of the product strategy based on a projection of its potential benefits to the customer as well as the review of product performance against milestones and targets set ",13.00%,579,13927
Software Development,Programming and Coding,"Develop technical capabilities to understand, design and write instructions to be processed by computers as software programmes to achieve desired outcomes",47.90%,698,91118
Software Development,Software Configuration,"Configure software products, analytics and modelling solutions, and apply and/or modify scripts and automation tools to integrate and deploy releases to various platforms and operating environments ",89.10%,147,1962
Software Development,Software Design,"Create and refine the overall plan for the design of software, including the design of functional specifications starting from the defined business requirements as well as the consideration and incorporation of various controls, functionality and interoperability of different elements into a design blueprint or model which describes the overall architecture in hardware, software, databases, and third party frameworks that the software will use or interact with",87.30%,303,10278
Software Development,Software Testing,"Assess and test the overall effectiveness and performance of an application, involving the setting up of suitable testing conditions, definition of test cases and/or technical criteria",99.60%,228,4174
Software Development,Test Planning,"Develop testing plans and procedures by determining scope and risks, identifying the objects of testing, selecting test methods and tools, and controlling test implementation",60.40%,128,1064
Software Development,Tools Development,Design and develop software tools to perform specialised functions that aid and ease various game development processes,1.00%,116,882
Software Development,User Experience Design,"Conceptualise and enhance the users' interactions and engagement with products and services by integrating elements of interaction design, information architecture, information design, visual interface design, user assistance design and user-centered design",85.60%,263,7632
Software Development,User Interface and User Experience (UI/UX) Optimisation,Design and deploy consistent customer experience-led interface and visual assets that allow for a seamless retail experience to boost customer retention and conversion,82.70%,298,4668
Software Development,User Interface Design,"Design user interfaces for machines and software, incorporating visual, technical and functional elements that facilitate ease of access, understanding and usage. This would involve adding, removing, modifying or enhancing elements to make the user's interaction with the product as seamless as possible",59.40%,267,5490
Software Development,User Testing and Usability Testing,"Conduct and manage user tests to validate the feasibility of design, evaluate its functionality and ease of use as part of a user-centred design process",61.90%,240,3493
Technology Application and Management,Augmented Reality Application,Facilitate the design and implementation of augmented reality applications to increase efficiency of work processes,119.00%,11,21
Technology Application and Management,Automated Distribution Management,"Maintain, oversee and review automated processes and systems within a department",140.10%,43,166
Technology Application and Management,Automation Design,"Manage control systems and information technology to reduce the need for human work in the production of goods and services in order to streamline operations in terms of speed, reliability and product output",92.50%,79,635
Technology Application and Management,Automation Process Control,Apply automation process control to monitor performance metrics and quality of manufacturing outputs to determine the optimal settings as well as productivity improvement strategies,109.90%,248,1683
Technology Application and Management,Automation Research and Implementation,Manage equipment and information technologies and integrate into organisation operations or processes to achieve organisation desired outcomes,52.40%,843,36210
Technology Application and Management,Autonomous Systems Technology Application,"Integrate autonomous systems and technologies in operational workflows, including processes, maintenance, logistics and plant surveillance, to enhance productivity and precision, and reduce reliance on manual tasks",55.20%,23,157
Technology Application and Management,Business Innovation,Identify and evaluate digitisation and innovative business opportunities provided by new advancements in information and communication technology to establish new services or businesses to bridge the physical and digital worlds,71.80%,164,725
Technology Application and Management,Control System Programming,"Develop capabilities in areas of communications and remote operations by programming logic circuits and erasable programmable read-only memory for ships, rigs and/or conversions",25.40%,196,3084
Technology Application and Management,Delivery Optimisation,Employ algorithmic and/or systematic route planning and improve logistics efficiencies using sophisticated logistics technology applications to ensure speedy parcel delivery,127.10%,79,293
Technology Application and Management,Digital Technology Adoption and Innovation,Develop digital technology enhancement projects to support the organisational objectives,79.20%,304,1906
Technology Application and Management,E-logistics IT Solutioning,Integrate internet-based technologies with back-end processes to improve logistics operations and develop new logistic management practices to support technological advances,68.50%,76,287
Technology Application and Management,Human Resource Digitalisation,Innovate human resource (HR) processes and practices through digitalisation by evaluating its impact on the delivery of HR services,22.70%,727,6822
Technology Application and Management,Human-robot Collaboration,Implement Human-Robot Collaboration (HRC) applications to enhance the efficiency and effectiveness of work processes,55.80%,8,17
Technology Application and Management,Integrated Digital Delivery Application,"Drive the adoption, integration and implementation of Integrated Digital Delivery (IDD) technologies to manage projects and building life-cycle efficiently from digital design, digital fabrication, digital construction to digital asset delivery and management",26.00%,1,2
Technology Application and Management,Internet of Things Application,Implement Internet of Things (IoT) technologies to drive efficiency and effectiveness of operations,85.80%,510,8571
Technology Application and Management,Logistics Operations Research and Planning,"Adopt advanced quantitative methods to analyse, design, plan and control logistics systems in order to support business requirements",125.70%,40,92
Technology Application and Management,Order Fulfilment and Returns Processing,Develop order fulfilment guidelines and execute order fulfilment activities in accordance with service level agreements,117.20%,271,3402
Technology Application and Management,Process Improvement and Optimisation,Implement improvements to current processes to maximise efficiency and effectiveness of operations,58.10%,461,4346
Technology Application and Management,Robotic and Automation Technology Application,"Integrate robotic and automation technologies in the Built Environment, including construction, operations and maintenance to enhance productivity and precision and to reduce reliance on manual tasks",42.60%,398,4324
Technology Application and Management,Supply Chain Solutioning/Modelling/Planning/Strategising,"Develop new operating models and solutions for customers to manage their supply chain needs as well as improve inventory levels, delivery time and cost saving",229.20%,26,107
Technology Application and Management,Technology Adoption and Innovation,Integrate technologies into organisational operations to optimise efficiency and effectiveness of work processes,84.00%,60,243
Technology Application and Management,Technology and Systems Application,Apply and integrate evaluated technologies into the organisation’s operations or processes to achieve the desired outcomes,80.20%,138,609
Technology Application and Management,Technology Application,Integrate technologies into operations of the organisation to optimise efficiency and effectiveness of processes,68.20%,359,2283
Technology Application and Management,Technology Scanning,Review new developments in emerging technology as well as evaluate and determine relevance of emerging technologies to the organisation,66.00%,486,8090
Technology Application and Management,Technology-enabled Learning Delivery,Implement and integrate learning technology to facilitate learning experiences,67.30%,8,14
Technology Application and Management,Virtual Reality Application,"Employ the use of virtual reality technology in work-related applications, training and to support organisational decision-making in relation to new designs for products, work procedures, workspace layouts and other experiments",79.70%,222,1079
Technology Application and Management,Warehouse Automation Application,Apply computer software and/or automated equipment to improve efficiency of warehouse operations,67.80%,222,1587
